FeatureID,control_means,treatment_means,log2FC,pval,pval.adj,Expression,fdrtool_pvalue,fdrtool_qval,label,Name,Formula,Calc. MW,Class
Feature0249,24.62249852674835,0,-24.62249852674835,0.021052816064712564,0.0805807695116439,Downregulated,0.021052816064712564,0.0048299200607462255,Label in control,NA,C45 H56 N18 O10 P2,1070.38978,Lignin
Feature0248,24.791540595838015,0,-24.791540595838015,0.01379404847858859,0.07023441221458548,Downregulated,0.01379404847858859,0.004070898298723321,Label in control,NA,C45 H54 N18 O10 P2,1068.37407,Lignin
Feature0244,27.75832399159079,0,-27.75832399159079,0.008823655085327824,0.05773191470114491,Downregulated,0.008823655085327824,0.0034181118936314862,Label in control,NA,C50 H43 N6 O12 P3,1012.21607,Lignin
Feature0242,25.99469126325784,16.105720891594267,-9.888970371663575,0.01566760405813676,0.07172931571985555,Downregulated,0.01566760405813676,0.004242915121959482,Label in control,NA,C56 H85 N6 O4 P3,998.5853,Lipid
Feature0239,27.278634205145686,18.20263819151834,-9.075996013627346,0.004068606095311717,0.039982154310415255,Downregulated,0.004068606095311717,0.0023205962792329365,Label in control,NA,C61 H85 N4 O P3,982.59045,Unsaturated HC
Feature0233,24.38248868539631,0,-24.38248868539631,0.027702319764724682,0.08997162757813601,Downregulated,0.027702319764724682,0.005402682138200691,Label in control,NA,C41 H56 N4 O15 P2,906.32081,Lignin
Feature0224,26.524279909608172,17.06995806307539,-9.454321846532782,4.566125335930289e-4,0.018927012064012674,Downregulated,4.566125335930289e-4,0.001025020539884055,Label in control,NA,C45 H77 N2 O10 P,836.53128,Lipid
Feature0219,24.310113479120137,15.512505847448946,-8.797607631671191,0.004257443923118869,0.039982154310415255,Downregulated,0.004257443923118869,0.002356824409499285,Label in control,NA,C38 H59 N2 O14 P,798.36968,Protein
Feature0211,25.475941135587618,21.902784890642966,-3.573156244944652,0.030201959362212892,0.09605900963814933,Downregulated,0.030201959362212892,0.005598476781108841,Label in control,NA,C34 H51 N2 O15 P,758.30143,Protein
Feature0209,23.98053986064809,0,-23.98053986064809,0.03230504071462797,0.09734018846907637,Downregulated,0.03230504071462797,0.00575035670065215,Label in control,NA,C39 H55 N2 O7 P3,756.32245,Lignin
Feature0204,21.07100834698937,24.245575540965127,3.174567193975758,0.022662399218527092,0.08460152819234311,Upregulated,0.022662399218527092,0.004986335929234825,Label in control,NA,C36 H61 N2 O11 P,728.40019,Protein
Feature0185,25.43212979828064,18.349386771008284,-7.0827430272723575,0.00100762025125992,0.01922875312821014,Downregulated,0.00100762025125992,0.001157666573988809,Label in control,NA,C35 H63 N2 O6 P3,700.38921,Lipid
Feature0170,24.665949867429177,19.018456001604182,-5.647493865824995,0.026456204273331806,0.08997162757813601,Downregulated,0.026456204273331806,0.005308800121318862,Label in control,NA,C28 H39 N2 O13 P,642.21706,Lignin
Feature0169,24.17358687776437,15.503435493933468,-8.670151383830904,0.027465144826562697,0.08997162757813601,Downregulated,0.027465144826562697,0.005385222075584237,Label in control,"1-Acetoxy-3-(palmitoyloxy)-2-propanyl (9Z,12Z,15Z)-9,12,15-octadecatrienoate",C39 H68 O6,632.50231,Lipid
Feature0165,26.61213580489899,20.47790490680287,-6.134230898096121,0.004539458567994745,0.039982154310415255,Downregulated,0.004539458567994745,0.0024071245437815207,Label in control,NA,C28 H34 O12 S2,626.14937,Lignin
Feature0163,25.023383391307323,0,-25.023383391307323,0.013801522050901079,0.07023441221458548,Downregulated,0.013801522050901079,0.004071645803262677,Label in control,NA,C35 H61 N2 O5 P,620.42949,Lipid
Feature0162,23.027600460985308,0,-23.027600460985308,0.014653026770321572,0.07172931571985555,Downregulated,0.014653026770321572,0.004153446196966018,Label in control,NA,C35 H57 N2 O5 P,616.39823,Lipid
Feature0161,23.535053631110998,0,-23.535053631110998,0.0015357889428727534,0.025121119136990038,Downregulated,0.0015357889428727534,0.0014790783877239551,Label in control,NA,C38 H62 O6,614.45287,Lipid
Feature0158,26.24368455744412,0,-26.24368455744412,0.0017059872979416546,0.026044739415242595,Downregulated,0.0017059872979416546,0.0015680228482959223,Label in control,"(1S,5S,7S)-3-(3,4-Dihydroxybenzoyl)-4-hydroxy-5-[(2R)-2-isopropyl-5-methylhexyl]-8,8-dimethyl-1,7-bis(3-methylbutyl)bicyclo[3.3.1]non-3-ene-2,9-dione",C38 H58 O6,610.42172,Lipid
